Contraction,Meaning
ifyp,i feel your pain
IG,instagram
iirc,if i remember correctly
ilu,i love you
ily,i love you
imho,in my humble opinion
imo,in my opinion
imu,i miss you
iow,in other words
irl,in real life
j4f,just for fun
jic,just in case
jk,just kidding
jsyk,just so you know
l8r,later
lb,pound
lbs,pounds
ldr,long distance relationship
lmao,laugh my ass off
lmfao,laugh my fucking ass off
lol,laughing out loud
ltd,limited
ltns,long time no see
m8,mate
mf,motherfucker
mfs,motherfuckers
mfw,my face when
mofo,motherfucker
mph,miles per hour
mr,mister
mrw,my reaction when
ms,miss
mte,my thoughts exactly
nagi,not a good idea
nbc,national broadcasting company
nbd,not big deal
nfs,not for sale
ngl,not going to lie
nhs,national health service
nrn,no reply necessary
nsfl,not safe for life
nsfw,not safe for work
nth,nice to have
nvr,never
nyc,new york city
oc,original content
og,original
ohp,overhead projector
oic,oh i see
omdb,over my dead body
omg,oh my god
omw,on my way
p.a,per annum
p.m,after midday
pm,prime minister
poc,people of color
pov,point of view
pp,pages
ppl,people
prw,parents are watching
ps,postscript
pt,point
ptb,please text back
pto,please turn over
qpsa,what happens #que pasa
ratchet,rude
rbtl,read between the lines
rlrt,real life retweet
rofl,rolling on the floor laughing
roflol,rolling on the floor laughing out loud
rotflmao,rolling on the floor laughing my ass off
rt,retweet
ruok,are you ok
sfw,safe for work
sk8,skate
smh,shake my head
sq,square
srsly,seriously
ssdd,same stuff different day
tbh,to be honest
tbs,tablespooful
tbsp,tablespooful
tfw,that feeling when
thks,thank you
tho,though
thx,thank you
tia,thanks in advance
til,today i learned
tl;dr,too long i did not read
tldr,too long i did not read
tmb,tweet me back
tntl,trying not to laugh
ttyl,talk to you later
u,you
u2,you too
u4e,yours for ever
utc,coordinated universal time
w/,with
w/o,without
w8,wait
wassup,what is up
wb,welcome back
wtf,what the fuck
wtg,way to go
wtpa,where the party at
wuf,where are you from
wuzup,what is up
wywh,wish you were here
yd,yard
ygtr,you got that right
ynk,you never know
zzz,sleeping bored and tired
